,Age,Gender,Education Level,Field,Years of Experience,Salary
77,32.0,Male,Master's,Software Development,6.0,100000.0
78,48.0,Female,Master's,Management and Leadership,20.0,180000.0
79,30.0,Female,Bachelor's,Sales and Marketing,3.0,55000.0
80,36.0,Male,Bachelor's,Human Resources and Recruitment,8.0,70000.0
81,41.0,Female,Master's,Research and Analysis,13.0,80000.0
82,25.0,Male,Bachelor's,Sales and Marketing,0.0,30000.0
83,52.0,Male,PhD,Management and Leadership,24.0,250000.0
84,29.0,Female,Bachelor's,Creative and Design,2.0,40000.0
85,34.0,Female,Master's,Finance and Accounting,10.0,95000.0
86,27.0,Male,Bachelor's,Sales and Marketing,2.0,45000.0
87,40.0,Female,Bachelor's,Human Resources and Recruitment,15.0,80000.0
88,46.0,Male,Master's,Operations and Project Management,21.0,135000.0
89,31.0,Female,Bachelor's,Sales and Marketing,6.0,55000.0
90,36.0,Male,PhD,Research and Analysis,11.0,120000.0
91,29.0,Female,Bachelor's,Sales and Marketing,3.0,40000.0
92,43.0,Male,Bachelor's,Operations and Project Management,18.0,105000.0
93,52.0,Female,Master's,Sales and Marketing,25.0,170000.0
94,33.0,Male,Bachelor's,Management and Leadership,7.0,75000.0
95,39.0,Female,Bachelor's,Human Resources and Recruitment,12.0,65000.0
96,47.0,Male,PhD,Research and Analysis,22.0,160000.0
97,26.0,Male,Bachelor's,Software Development,1.0,35000.0
98,38.0,Female,Master's,Sales and Marketing,10.0,90000.0
99,45.0,Male,Bachelor's,Operations and Project Management,20.0,110000.0
101,35.0,Male,Master's,Sales and Marketing,8.0,95000.0
102,49.0,Female,Master's,Management and Leadership,19.0,150000.0
103,33.0,Male,Bachelor's,Software Development,5.0,50000.0
104,39.0,Female,Master's,Operations and Project Management,13.0,80000.0
105,44.0,Male,PhD,Management and Leadership,16.0,220000.0
106,30.0,Female,Bachelor's,Sales and Marketing,3.0,50000.0
107,36.0,Male,Bachelor's,Information Technology,7.0,60000.0
108,41.0,Female,Master's,Sales and Marketing,14.0,100000.0
109,28.0,Male,Bachelor's,Customer Service and Support,2.0,40000.0
110,42.0,Female,Master's,Creative and Design,15.0,110000.0
111,37.0,Male,Bachelor's,Software Development,9.0,95000.0
112,50.0,Female,Bachelor's,Operations and Project Management,22.0,130000.0
113,32.0,Male,Master's,Management and Leadership,6.0,90000.0
114,23.0,Female,Bachelor's,Sales and Marketing,0.5,35000.0
115,31.0,Male,Master's,Finance and Accounting,6.0,95000.0
116,40.0,Female,Bachelor's,Management and Leadership,15.0,65000.0
117,48.0,Male,PhD,Software Development,20.0,170000.0
118,29.0,Female,Bachelor's,Human Resources and Recruitment,3.0,45000.0
119,35.0,Male,Master's,Operations and Project Management,10.0,120000.0
120,42.0,Female,Bachelor's,Management and Leadership,17.0,100000.0
121,53.0,Male,Master's,Management and Leadership,25.0,180000.0
122,33.0,Female,Bachelor's,Operations and Project Management,5.0,50000.0
123,38.0,Male,Bachelor's,Management and Leadership,11.0,80000.0
124,44.0,Female,PhD,Research and Analysis,16.0,140000.0
125,26.0,Male,Bachelor's,Sales and Marketing,2.0,40000.0
126,37.0,Female,Master's,Human Resources and Recruitment,9.0,95000.0
127,45.0,Male,Bachelor's,Management and Leadership,18.0,110000.0
128,32.0,Female,Bachelor's,Sales and Marketing,4.0,50000.0
129,34.0,Male,Master's,Software Development,8.0,105000.0
130,50.0,Female,Master's,Management and Leadership,21.0,160000.0
131,29.0,Male,Bachelor's,Creative and Design,3.0,45000.0
132,40.0,Female,Master's,Human Resources and Recruitment,12.0,100000.0
133,47.0,Male,PhD,Research and Analysis,22.0,160000.0
134,27.0,Male,Bachelor's,Sales and Marketing,1.0,35000.0
135,39.0,Female,Bachelor's,Management and Leadership,10.0,55000.0
136,46.0,Male,Master's,Operations and Project Management,19.0,140000.0
137,30.0,Female,Bachelor's,Sales and Marketing,4.0,50000.0
138,36.0,Male,Bachelor's,Research and Analysis,7.0,60000.0
139,43.0,Female,Master's,Sales and Marketing,14.0,120000.0
140,28.0,Male,Bachelor's,Management and Leadership,2.0,40000.0
141,41.0,Female,Master's,Sales and Marketing,13.0,110000.0
142,33.0,Male,Bachelor's,Software Development,5.0,50000.0
143,47.0,Male,Bachelor's,Management and Leadership,20.0,135000.0
144,25.0,Female,Master's,Sales and Marketing,1.5,40000.0
145,34.0,Male,Bachelor's,Management and Leadership,8.0,90000.0
146,42.0,Female,PhD,Research and Analysis,16.0,150000.0
147,31.0,Male,Bachelor's,Operations and Project Management,4.0,60000.0
148,38.0,Female,Bachelor's,Sales and Marketing,10.0,80000.0
149,45.0,Male,Master's,Management and Leadership,19.0,175000.0
150,29.0,Female,Bachelor's,Human Resources and Recruitment,3.0,45000.0
151,36.0,Male,Master's,Management and Leadership,11.0,120000.0
152,43.0,Female,PhD,Creative and Design,18.0,140000.0
153,26.0,Male,Bachelor's,Customer Service and Support,2.0,35000.0
154,37.0,Female,Master's,Sales and Marketing,9.0,95000.0
155,44.0,Male,Bachelor's,Information Technology,14.0,110000.0
156,32.0,Female,Bachelor's,Finance and Accounting,5.0,50000.0
157,33.0,Male,Master's,Management and Leadership,7.0,115000.0
158,51.0,Female,PhD,Management and Leadership,23.0,185000.0
159,28.0,Male,Bachelor's,Software Development,2.0,40000.0
160,39.0,Female,Bachelor's,Sales and Marketing,12.0,90000.0
161,48.0,Male,Master's,Management and Leadership,21.0,175000.0
163,35.0,Male,Bachelor's,Sales and Marketing,7.0,80000.0
164,41.0,Female,Master's,Human Resources and Recruitment,13.0,120000.0
165,27.0,Male,Bachelor's,Management and Leadership,1.5,35000.0
166,40.0,Female,Bachelor's,Sales and Marketing,14.0,110000.0
167,46.0,Male,PhD,Research and Analysis,18.0,150000.0
168,31.0,Female,Bachelor's,Human Resources and Recruitment,4.0,50000.0
169,34.0,Male,Master's,Software Development,9.0,105000.0
170,50.0,Female,Master's,Management and Leadership,20.0,180000.0
171,29.0,Male,Bachelor's,Sales and Marketing,2.0,40000.0
172,43.0,Male,Bachelor's,Operations and Project Management,16.0,140000.0
173,26.0,Female,Master's,Research and Analysis,1.5,45000.0
174,35.0,Male,Bachelor's,Operations and Project Management,7.0,85000.0
175,42.0,Female,PhD,Sales and Marketing,18.0,140000.0
176,31.0,Male,Bachelor's,Sales and Marketing,4.0,50000.0
177,38.0,Female,Bachelor's,Human Resources and Recruitment,10.0,80000.0
178,46.0,Male,Master's,Management and Leadership,20.0,170000.0
179,29.0,Female,Bachelor's,Sales and Marketing,2.0,40000.0
180,37.0,Male,Master's,Management and Leadership,9.0,105000.0
181,44.0,Female,PhD,Creative and Design,15.0,145000.0
182,27.0,Male,Bachelor's,Operations and Project Management,2.0,40000.0
183,36.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
184,43.0,Male,Bachelor's,Information Technology,14.0,130000.0
185,33.0,Female,Master's,Finance and Accounting,6.0,95000.0
186,34.0,Male,Bachelor's,Software Development,9.0,100000.0
187,50.0,Female,PhD,Management and Leadership,22.0,180000.0
188,28.0,Male,Bachelor's,Operations and Project Management,1.5,35000.0
189,39.0,Female,Bachelor's,Sales and Marketing,12.0,95000.0
190,47.0,Male,Master's,Management and Leadership,19.0,170000.0
191,30.0,Female,Bachelor's,Sales and Marketing,3.0,45000.0
192,34.0,Male,Bachelor's,Operations and Project Management,7.0,95000.0
193,40.0,Female,Master's,Human Resources and Recruitment,13.0,120000.0
194,28.0,Male,Bachelor's,Management and Leadership,2.0,40000.0
195,41.0,Female,Bachelor's,Sales and Marketing,11.0,90000.0
196,45.0,Male,PhD,Research and Analysis,17.0,155000.0
197,32.0,Female,Bachelor's,Sales and Marketing,5.0,55000.0
198,35.0,Male,Master's,Software Development,9.0,110000.0
199,49.0,Female,Master's,Management and Leadership,21.0,180000.0
200,30.0,Male,Bachelor's,Sales and Marketing,3.0,45000.0
201,44.0,Male,Bachelor's,Management and Leadership,16.0,130000.0
202,27.0,Female,Master's,Creative and Design,1.5,45000.0
203,36.0,Male,Bachelor's,Sales and Marketing,7.0,90000.0
204,41.0,Female,PhD,Management and Leadership,17.0,160000.0
205,31.0,Male,Bachelor's,Human Resources and Recruitment,4.0,50000.0
206,39.0,Female,Bachelor's,Management and Leadership,10.0,120000.0
207,47.0,Male,Master's,Management and Leadership,20.0,170000.0
208,30.0,Female,Bachelor's,Sales and Marketing,2.0,40000.0
209,38.0,Male,Master's,Information Technology,9.0,110000.0
210,45.0,Female,PhD,Creative and Design,15.0,150000.0
211,28.0,Male,Bachelor's,Management and Leadership,2.0,40000.0
212,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
213,44.0,Male,Bachelor's,Software Development,14.0,130000.0
214,34.0,Female,Master's,Finance and Accounting,6.0,100000.0
215,35.0,Male,Bachelor's,Operations and Project Management,9.0,95000.0
216,50.0,Female,PhD,Management and Leadership,22.0,180000.0
217,29.0,Male,Bachelor's,Operations and Project Management,1.5,35000.0
218,40.0,Female,Bachelor's,Sales and Marketing,12.0,100000.0
219,48.0,Male,Master's,Management and Leadership,19.0,170000.0
220,31.0,Female,Bachelor's,Sales and Marketing,3.0,45000.0
221,33.0,Male,Bachelor's,Operations and Project Management,7.0,100000.0
222,42.0,Female,Master's,Human Resources and Recruitment,13.0,140000.0
223,28.0,Male,Bachelor's,Finance and Accounting,2.0,40000.0
224,40.0,Female,Bachelor's,Sales and Marketing,11.0,105000.0
225,46.0,Male,PhD,Research and Analysis,18.0,160000.0
226,33.0,Female,Bachelor's,Management and Leadership,5.0,70000.0
227,37.0,Male,Master's,Software Development,9.0,120000.0
228,51.0,Female,Master's,Management and Leadership,21.0,190000.0
229,30.0,Male,Bachelor's,Sales and Marketing,3.0,45000.0
230,43.0,Male,Bachelor's,Operations and Project Management,15.0,120000.0
231,27.0,Female,Master's,Research and Analysis,1.5,50000.0
232,35.0,Male,Bachelor's,Operations and Project Management,8.0,85000.0
233,42.0,Female,PhD,Sales and Marketing,13.0,140000.0
234,32.0,Male,Bachelor's,Sales and Marketing,3.0,45000.0
235,37.0,Female,Bachelor's,Finance and Accounting,9.0,100000.0
236,45.0,Male,Master's,Software Development,16.0,140000.0
237,33.0,Female,Bachelor's,Operations and Project Management,5.0,70000.0
238,39.0,Male,Bachelor's,Sales and Marketing,10.0,120000.0
239,44.0,Female,PhD,Management and Leadership,18.0,160000.0
240,29.0,Male,Bachelor's,Management and Leadership,1.5,40000.0
241,38.0,Female,Bachelor's,Operations and Project Management,10.0,120000.0
242,46.0,Male,PhD,Research and Analysis,19.0,150000.0
243,34.0,Female,Bachelor's,Sales and Marketing,6.0,70000.0
244,36.0,Male,Bachelor's,Management and Leadership,8.0,95000.0
245,49.0,Female,Master's,Management and Leadership,21.0,180000.0
246,31.0,Male,Bachelor's,Finance and Accounting,3.0,50000.0
247,41.0,Female,Bachelor's,Operations and Project Management,11.0,95000.0
248,47.0,Male,Master's,Management and Leadership,20.0,170000.0
249,30.0,Female,Bachelor's,Sales and Marketing,2.0,40000.0
250,38.0,Male,Master's,Information Technology,9.0,110000.0
251,45.0,Female,PhD,Creative and Design,15.0,150000.0
252,28.0,Male,Bachelor's,Management and Leadership,2.0,40000.0
253,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
254,44.0,Male,Bachelor's,Software Development,14.0,130000.0
255,34.0,Female,Master's,Finance and Accounting,6.0,100000.0
256,35.0,Male,Bachelor's,Operations and Project Management,9.0,95000.0
257,50.0,Female,PhD,Management and Leadership,22.0,180000.0
258,29.0,Male,Bachelor's,Operations and Project Management,1.5,350.0
259,37.0,Female,Bachelor's,Management and Leadership,10.0,120000.0
260,46.0,Male,PhD,Research and Analysis,18.0,160000.0
261,31.0,Female,Bachelor's,Sales and Marketing,3.0,50000.0
262,42.0,Male,Bachelor's,Management and Leadership,12.0,110000.0
263,29.0,Female,Bachelor's,Sales and Marketing,1.5,40000.0
264,36.0,Male,Bachelor's,Sales and Marketing,8.0,95000.0
265,44.0,Female,Master's,Human Resources and Recruitment,15.0,140000.0
266,33.0,Male,Bachelor's,Management and Leadership,4.0,60000.0
267,39.0,Female,Bachelor's,Sales and Marketing,9.0,110000.0
268,45.0,Male,PhD,Software Development,16.0,150000.0
269,32.0,Female,Bachelor's,Sales and Marketing,4.0,60000.0
270,37.0,Male,Bachelor's,Finance and Accounting,8.0,90000.0
271,47.0,Female,Master's,Management and Leadership,20.0,180000.0
272,30.0,Male,Bachelor's,Management and Leadership,2.0,40000.0
273,38.0,Female,Bachelor's,Operations and Project Management,9.0,120000.0
274,46.0,Male,PhD,Research and Analysis,17.0,160000.0
275,34.0,Female,Bachelor's,Finance and Accounting,5.0,70000.0
276,36.0,Male,Bachelor's,Operations and Project Management,8.0,95000.0
277,49.0,Female,Master's,Management and Leadership,21.0,180000.0
278,31.0,Male,Bachelor's,Operations and Project Management,3.0,50000.0
279,41.0,Female,Bachelor's,Operations and Project Management,11.0,95000.0
280,47.0,Male,Master's,Management and Leadership,19.0,170000.0
281,29.0,Female,Bachelor's,Management and Leadership,1.5,35000.0
282,35.0,Male,Bachelor's,Management and Leadership,9.0,100000.0
283,44.0,Female,PhD,Creative and Design,15.0,150000.0
284,33.0,Male,Bachelor's,Management and Leadership,4.0,60000.0
285,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
286,44.0,Male,Bachelor's,Software Development,13.0,130000.0
287,32.0,Male,Bachelor's,Operations and Project Management,4.0,65000.0
288,38.0,Female,Bachelor's,Management and Leadership,10.0,110000.0
289,49.0,Male,PhD,Management and Leadership,21.0,180000.0
290,29.0,Female,Bachelor's,Sales and Marketing,2.0,40000.0
291,35.0,Male,Bachelor's,Management and Leadership,7.0,90000.0
292,45.0,Female,Master's,Management and Leadership,14.0,140000.0
293,33.0,Male,Bachelor's,Finance and Accounting,4.0,60000.0
294,40.0,Female,Bachelor's,Sales and Marketing,12.0,130000.0
295,44.0,Male,PhD,Research and Analysis,16.0,160000.0
296,30.0,Female,Bachelor's,Operations and Project Management,2.0,40000.0
297,37.0,Male,Bachelor's,Sales and Marketing,9.0,100000.0
298,48.0,Female,Master's,Management and Leadership,20.0,180000.0
299,31.0,Male,Bachelor's,Operations and Project Management,3.0,55000.0
300,38.0,Female,Bachelor's,Operations and Project Management,9.0,120000.0
301,45.0,Male,PhD,Software Development,16.0,150000.0
302,33.0,Female,Bachelor's,Sales and Marketing,5.0,70000.0
303,36.0,Male,Bachelor's,Management and Leadership,8.0,95000.0
304,49.0,Female,Master's,Management and Leadership,21.0,180000.0
305,31.0,Male,Bachelor's,Operations and Project Management,3.0,50000.0
306,42.0,Female,Bachelor's,Operations and Project Management,12.0,120000.0
307,47.0,Male,Master's,Management and Leadership,19.0,170000.0
308,29.0,Female,Bachelor's,Management and Leadership,1.5,35000.0
309,35.0,Male,Bachelor's,Management and Leadership,9.0,100000.0
310,44.0,Female,PhD,Creative and Design,15.0,150000.0
311,33.0,Male,Bachelor's,Management and Leadership,4.0,60000.0
312,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
313,44.0,Male,Bachelor's,Software Development,13.0,130000.0
314,34.0,Female,Master's,Finance and Accounting,6.0,80000.0
315,36.0,Male,Bachelor's,Sales and Marketing,8.0,95000.0
316,30.0,Female,Bachelor's,Human Resources and Recruitment,2.0,40000.0
317,37.0,Male,Bachelor's,Management and Leadership,10.0,120000.0
318,45.0,Female,Master's,Sales and Marketing,16.0,160000.0
319,32.0,Male,Bachelor's,Finance and Accounting,4.0,65000.0
320,39.0,Female,Bachelor's,Operations and Project Management,12.0,130000.0
321,47.0,Male,PhD,Management and Leadership,20.0,180000.0
322,29.0,Female,Bachelor's,Sales and Marketing,2.0,40000.0
323,36.0,Male,Bachelor's,Management and Leadership,9.0,100000.0
324,43.0,Female,PhD,Research and Analysis,15.0,150000.0
325,32.0,Male,Bachelor's,Sales and Marketing,3.0,55000.0
326,38.0,Female,Bachelor's,Management and Leadership,10.0,110000.0
327,48.0,Male,Master's,Management and Leadership,21.0,180000.0
328,31.0,Female,Bachelor's,Management and Leadership,3.0,50000.0
329,40.0,Male,Bachelor's,Finance and Accounting,12.0,130000.0
330,45.0,Female,PhD,Creative and Design,16.0,160000.0
331,33.0,Male,Bachelor's,Operations and Project Management,4.0,60000.0
332,36.0,Female,Bachelor's,Sales and Marketing,8.0,95000.0
333,47.0,Male,Master's,Management and Leadership,19.0,170000.0
334,29.0,Female,Bachelor's,Operations and Project Management,2.0,40000.0
335,34.0,Male,Bachelor's,Operations and Project Management,7.0,90000.0
336,44.0,Female,PhD,Management and Leadership,15.0,150000.0
337,33.0,Male,Bachelor's,Sales and Marketing,5.0,70000.0
338,35.0,Female,Bachelor's,Management and Leadership,8.0,90000.0
339,43.0,Male,Master's,Management and Leadership,18.0,170000.0
340,31.0,Female,Bachelor's,Finance and Accounting,3.0,50000.0
341,41.0,Male,Bachelor's,Operations and Project Management,14.0,150000.0
342,44.0,Female,PhD,Software Development,16.0,160000.0
343,33.0,Male,Bachelor's,Management and Leadership,4.0,60000.0
344,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
345,45.0,Male,Master's,Management and Leadership,19.0,180000.0
346,28.0,Female,Bachelor's,Management and Leadership,1.0,35000.0
347,36.0,Male,Bachelor's,Management and Leadership,8.0,110000.0
348,44.0,Female,PhD,Research and Analysis,16.0,160000.0
349,31.0,Male,Bachelor's,Sales and Marketing,3.0,55000.0
350,38.0,Female,Bachelor's,Management and Leadership,10.0,110000.0
351,48.0,Male,Master's,Management and Leadership,21.0,180000.0
352,31.0,Female,Bachelor's,Management and Leadership,3.0,50000.0
353,40.0,Male,Bachelor's,Finance and Accounting,12.0,130000.0
354,45.0,Female,PhD,Creative and Design,16.0,160000.0
355,33.0,Male,Bachelor's,Operations and Project Management,4.0,60000.0
356,36.0,Female,Bachelor's,Sales and Marketing,8.0,95000.0
357,47.0,Male,Master's,Management and Leadership,19.0,170000.0
358,29.0,Female,Bachelor's,Operations and Project Management,2.0,40000.0
359,34.0,Male,Bachelor's,Operations and Project Management,7.0,90000.0
360,44.0,Female,PhD,Management and Leadership,15.0,150000.0
361,33.0,Male,Bachelor's,Sales and Marketing,5.0,70000.0
362,35.0,Female,Bachelor's,Management and Leadership,8.0,90000.0
363,43.0,Male,Master's,Management and Leadership,18.0,170000.0
364,31.0,Female,Bachelor's,Finance and Accounting,3.0,50000.0
365,41.0,Male,Bachelor's,Operations and Project Management,14.0,150000.0
366,44.0,Female,PhD,Software Development,16.0,160000.0
367,33.0,Male,Bachelor's,Management and Leadership,4.0,60000.0
368,35.0,Female,Bachelor's,Sales and Marketing,8.0,85000.0
369,43.0,Male,Master's,Management and Leadership,19.0,170000.0
370,29.0,Female,Bachelor's,Operations and Project Management,2.0,40000.0
371,34.0,Male,Bachelor's,Operations and Project Management,7.0,90000.0
372,44.0,Female,PhD,Management and Leadership,15.0,150000.0
373,31.0,Male,Master's,Research and Analysis,6.0,160000.0
374,28.0,Female,Bachelor's,Software Development,3.0,125000.0
375,26.0,Male,Master's,Operations and Project Management,2.0,120000.0
376,27.0,Female,Bachelor's,Research and Analysis,2.0,110000.0
377,30.0,Male,PhD,Research and Analysis,5.0,180000.0
378,29.0,Female,Bachelor's,Software Development,4.0,140000.0
379,32.0,Male,Bachelor's,Operations and Project Management,7.0,170000.0
380,25.0,Female,Master's,Research and Analysis,1.0,100000.0
381,33.0,Male,PhD,Research and Analysis,8.0,190000.0
382,31.0,Female,Bachelor's,Software Development,6.0,155000.0
383,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
384,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
385,27.0,Male,PhD,Research and Analysis,2.0,115000.0
386,29.0,Female,Bachelor's,Software Development,4.0,140000.0
387,34.0,Male,Bachelor's,Operations and Project Management,9.0,185000.0
388,25.0,Female,Master's,Research and Analysis,1.0,100000.0
389,33.0,Male,PhD,Research and Analysis,8.0,190000.0
390,31.0,Female,Bachelor's,Software Development,6.0,155000.0
391,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
392,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
393,28.0,Male,Bachelor's,Software Development,3.0,125000.0
394,26.0,Female,Master's,Operations and Project Management,2.0,120000.0
395,27.0,Male,Bachelor's,Research and Analysis,2.0,110000.0
396,30.0,Female,PhD,Research and Analysis,5.0,180000.0
397,29.0,Male,Bachelor's,Software Development,4.0,140000.0
398,32.0,Male,Bachelor's,Operations and Project Management,7.0,170000.0
399,25.0,Female,Master's,Research and Analysis,1.0,100000.0
400,33.0,Male,PhD,Research and Analysis,8.0,190000.0
401,31.0,Female,Bachelor's,Software Development,6.0,155000.0
402,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
403,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
404,27.0,Male,PhD,Research and Analysis,2.0,115000.0
405,29.0,Female,Bachelor's,Software Development,4.0,140000.0
406,34.0,Male,Bachelor's,Operations and Project Management,9.0,185000.0
407,25.0,Female,Master's,Research and Analysis,1.0,100000.0
408,33.0,Male,PhD,Research and Analysis,8.0,190000.0
409,31.0,Female,Bachelor's,Software Development,6.0,155000.0
410,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
411,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
412,28.0,Male,Bachelor's,Software Development,3.0,125000.0
413,26.0,Female,Master's,Operations and Project Management,2.0,120000.0
414,27.0,Male,Bachelor's,Research and Analysis,2.0,110000.0
415,30.0,Female,PhD,Research and Analysis,5.0,180000.0
416,29.0,Male,Bachelor's,Software Development,4.0,140000.0
417,32.0,Male,Bachelor's,Operations and Project Management,7.0,170000.0
418,25.0,Female,Master's,Research and Analysis,1.0,100000.0
419,33.0,Male,PhD,Research and Analysis,8.0,190000.0
420,31.0,Female,Bachelor's,Software Development,6.0,155000.0
421,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
422,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
423,27.0,Male,PhD,Research and Analysis,2.0,115000.0
424,29.0,Female,Bachelor's,Software Development,4.0,140000.0
425,34.0,Male,Bachelor's,Operations and Project Management,9.0,185000.0
426,25.0,Female,Master's,Research and Analysis,1.0,100000.0
427,33.0,Male,PhD,Research and Analysis,8.0,190000.0
428,31.0,Female,Bachelor's,Software Development,6.0,155000.0
429,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
430,30.0,Female,Bachelor's,Research and Analysis,5.0,145000.0
431,28.0,Male,Bachelor's,Software Development,3.0,125000.0
432,26.0,Female,Master's,Operations and Project Management,2.0,120000.0
433,27.0,Male,Bachelor's,Research and Analysis,2.0,110000.0
434,30.0,Female,PhD,Research and Analysis,5.0,180000.0
435,29.0,Male,Bachelor's,Software Development,4.0,140000.0
436,32.0,Male,Bachelor's,Operations and Project Management,7.0,170000.0
437,25.0,Female,Master's,Research and Analysis,1.0,100000.0
438,33.0,Male,PhD,Research and Analysis,8.0,190000.0
439,31.0,Female,Bachelor's,Software Development,6.0,155000.0
440,28.0,Male,Master's,Operations and Project Management,3.0,130000.0
